,MRT Name,Latitude,Longitude
0,ESPLANADE MRT STATION,1.293657725,103.8550812
1,PAYA LEBAR MRT STATION,1.31719912,103.8923649
2,DHOBY GHAUT MRT STATION,1.298655224,103.8461942
3,DAKOTA MRT STATION,1.308547984,103.8890647
4,LAVENDER MRT STATION,1.307377817,103.8627676
5,RENJONG LRT STATION,1.38670059,103.8906213
6,DOVER MRT STATION,1.311405293,103.7786378
7,HOUGANG MRT STATION,1.371292266,103.8923805
8,PHOENIX LRT STATION,1.378615451,103.7579956
9,ALJUNIED MRT STATION,1.316432612,103.882906
10,COVE LRT STATION,1.399281988,103.9059619
11,PASIR RIS MRT STATION,1.37300805,103.9492651
12,ADMIRALTY MRT STATION,1.440588562,103.8009905
13,KEMBANGAN MRT STATION,1.321038134,103.9129479
14,PUNGGOL POINT LRT STATION,1.41684852,103.9066508
15,MARSILING MRT STATION,1.432521149,103.7740746
16,COMPASSVALE LRT STATION,1.394493045,103.9004925
17,KHATIB MRT STATION,1.41738337,103.8329799
18,LAYAR LRT STATION,1.392079837,103.8800296
19,TAMPINES WEST MRT STATION,1.345633658,103.9384925
20,TAMPINES MRT STATION,1.345515306,103.938437
21,TAMPINES EAST MRT STATION,1.356191483,103.9546345
22,TAI SENG MRT STATION,1.335145642,103.8883361
23,SUMANG LRT STATION,1.408452419,103.8985585
24,STEVENS MRT STATION,1.320065558,103.8260244
25,STADIUM MRT STATION,1.302812468,103.8753377
26,SIXTH AVENUE MRT STATION,1.330857645,103.7969068
27,SOUTH VIEW LRT STATION,1.380298287,103.7452918
28,SOO TECK LRT STATION,1.405323319,103.8972905
29,SOMERSET MRT STATION,1.300264167,103.8390858
30,SIMEI MRT STATION,1.343197079,103.9533772
31,SERANGOON MRT STATION,1.350633615,103.8727717
32,SERANGOON MRT STATION,1.350633615,103.8727717
33,SENGKANG MRT STATION,1.391694626,103.8954847
34,BRADDELL MRT STATION,1.340469001,103.8467991
35,NOVENA MRT STATION,1.320440791,103.8438256
36,FARRER PARK MRT STATION,1.3131403,103.8547547
37,BEDOK MRT STATION,1.320401487,103.9571838
38,REDHILL MRT STATION,1.289634534,103.816741
39,CHANGI AIRPORT MRT STATION,1.357478974,103.9878836
40,CORAL EDGE LRT STATION,1.393909229,103.9125808
41,CLEMENTI MRT STATION,1.315116253,103.7651915
42,BUKIT BATOK MRT STATION,1.349033312,103.7495665
43,OASIS LRT STATION,1.40228668,103.9127274
44,NIBONG LRT STATION,1.411854477,103.9003395
45,MERIDIAN LRT STATION,1.39691205,103.9089502
46,BUKIT GOMBAK MRT STATION,1.358611591,103.7517909
47,EUNOS MRT STATION,1.319783549,103.9032258
48,CHINESE GARDEN MRT STATION,1.342244948,103.7327666
49,KADALOOR LRT STATION,1.399509106,103.916575
50,CHENG LIM LRT STATION,1.396277633,103.8937972
51,SAM KEE LRT STATION,1.409612685,103.9048316
52,KRANJI MRT STATION,1.425086981,103.7621375
53,ANG MO KIO MRT STATION,1.369428557,103.8494552
54,RIVIERA LRT STATION,1.394519785,103.9161694
55,BANGKIT LRT STATION,1.38002223,103.7726474
56,PASIR PANJANG MRT STATION,1.276213522,103.7913503
57,HOLLAND VILLAGE MRT STATION,1.312240296,103.7963991
58,LABRADOR PARK MRT STATION,1.272227051,103.8027445
59,BOTANIC GARDENS MRT STATION,1.322113736,103.8149845
60,ONE-NORTH MRT STATION,1.299689535,103.7874128
61,KENT RIDGE MRT STATION,1.293536986,103.7845724
62,HAW PAR VILLA MRT STATION,1.281956887,103.781989
63,MARINA BAY MRT STATION,1.276311144,103.854605
64,KING ALBERT PARK MRT STATION,1.335661613,103.7833991
65,LITTLE INDIA MRT STATION,1.306800197,103.8496471
66,ROCHOR MRT STATION,1.303852185,103.8527694
67,SENJA LRT STATION,1.382725471,103.7623443
68,MOUNTBATTEN MRT STATION,1.306201905,103.8825281
69,CHOA CHU KANG MRT STATION,1.385363165,103.7443708
70,BOON KENG MRT STATION,1.319939577,103.8620527
71,BARTLEY MRT STATION,1.342501178,103.8801779
72,SEGAR LRT STATION,1.387785087,103.7695997
73,HILLVIEW MRT STATION,1.362344868,103.7674183
74,BEAUTY WORLD MRT STATION,1.34090149,103.7757467
75,BUKIT PANJANG MRT STATION,1.379561212,103.7611889
76,CASHEW MRT STATION,1.369815449,103.7644392
77,JOO KOON MRT STATION,1.327694365,103.6780851
78,YEW TEE MRT STATION,1.397297711,103.7473577
79,YISHUN MRT STATION,1.429443085,103.835005
80,YIO CHU KANG MRT STATION,1.381498825,103.8451707
81,WOODLEIGH MRT STATION,1.339190045,103.8708183
82,WOODLANDS MRT STATION,1.436057617,103.7879388
83,UPPER CHANGI MRT STATION,1.341739774,103.9614728
84,TELOK AYER MRT STATION,1.282068948,103.8486488
85,TONGKANG LRT STATION,1.389347947,103.8858442
86,UBI MRT STATION,1.32997426,103.8992267
87,TOA PAYOH MRT STATION,1.332596728,103.8475773
88,TIONG BAHRU MRT STATION,1.286102536,103.8274451
89,THANGGAM LRT STATION,1.397318156,103.8756352
